trial_id,value,state,p_min_change_pct,p_entry_hhmm_min,p_entry_hhmm_max,a_fold1_test_calmar,a_fold1_test_trades,a_fold1_test_win_rate,a_fold1_monthly_trades,a_fold1_all_pass,a_fold2_test_return,a_fold2_test_mdd,a_fold2_overfit,a_fold2_gates_passed,a_fold3_test_calmar,a_fold3_test_trades,a_fold3_test_win_rate,a_fold3_monthly_trades,a_fold3_all_pass,a_avg_overfit,a_agg_trades,a_worst_mdd,a_valid,a_fold1_test_return,a_fold1_test_mdd,a_fold1_overfit,a_fold1_gates_passed,a_fold2_test_calmar,a_fold2_test_trades,a_fold2_test_win_rate,a_fold2_monthly_trades,a_fold2_all_pass,a_fold3_test_return,a_fold3_test_mdd,a_fold3_overfit,a_fold3_gates_passed,a_avg_calmar,a_avg_monthly_trades,a_agg_win_rate,a_agg_gates_passed,a_failed_aggregate_gates
75,-1000000.0,TrialState.COMPLETE,5.5,1440,1500,29.048494318332494,100,0.4,50.0,True,-0.059334450202968014,-0.060778453477842956,-100.23425633314787,3,13.73646755301982,145,0.41379310344827586,72.5,True,-25.976989044408676,322,-0.0952330880777651,False,0.14069188780408282,-0.038738417234629674,,5,-5.155909529379692,77,0.3116883116883117,38.5,False,0.14198774010306714,-0.0952330880777651,48.28027824433052,5,12.543017447324209,53.666666666666664,0.38509316770186336,4,['overfit']
76,-1000000.0,TrialState.COMPLETE,5.5,1440,1500,29.048494318332494,100,0.4,50.0,True,-0.059334450202968014,-0.060778453477842956,-100.23425633314787,3,13.73646755301982,145,0.41379310344827586,72.5,True,-25.976989044408676,322,-0.0952330880777651,False,0.14069188780408282,-0.038738417234629674,,5,-5.155909529379692,77,0.3116883116883117,38.5,False,0.14198774010306714,-0.0952330880777651,48.28027824433052,5,12.543017447324209,53.666666666666664,0.38509316770186336,4,['overfit']
77,-1000000.0,TrialState.COMPLETE,5.5,1440,1500,29.048494318332494,100,0.4,50.0,True,-0.059334450202968014,-0.060778453477842956,-100.23425633314787,3,13.73646755301982,145,0.41379310344827586,72.5,True,-25.976989044408676,322,-0.0952330880777651,False,0.14069188780408282,-0.038738417234629674,,5,-5.155909529379692,77,0.3116883116883117,38.5,False,0.14198774010306714,-0.0952330880777651,48.28027824433052,5,12.543017447324209,53.666666666666664,0.38509316770186336,4,['overfit']
78,-1000000.0,TrialState.COMPLETE,5.5,1440,1500,29.048494318332494,100,0.4,50.0,True,-0.059334450202968014,-0.060778453477842956,-100.23425633314787,3,13.73646755301982,145,0.41379310344827586,72.5,True,-25.976989044408676,322,-0.0952330880777651,False,0.14069188780408282,-0.038738417234629674,,5,-5.155909529379692,77,0.3116883116883117,38.5,False,0.14198774010306714,-0.0952330880777651,48.28027824433052,5,12.543017447324209,53.666666666666664,0.38509316770186336,4,['overfit']
79,11.578676964720854,TrialState.COMPLETE,5.5,1500,1500,26.12995188150836,86,0.4069767441860465,43.0,True,-0.08745185831089142,-0.08745185831089139,,4,13.52541641148077,124,0.41935483870967744,62.0,True,,274,-0.08745185831089139,True,0.12579590630588755,-0.03716683192205247,,5,-4.919337398826571,64,0.265625,32.0,False,0.11298955967804769,-0.07119045458223967,,5,11.578676964720854,45.666666666666664,0.3795620437956204,5,
80,11.578676964720854,TrialState.COMPLETE,5.5,1500,1500,26.12995188150836,86,0.4069767441860465,43.0,True,-0.08745185831089142,-0.08745185831089139,,4,13.52541641148077,124,0.41935483870967744,62.0,True,,274,-0.08745185831089139,True,0.12579590630588755,-0.03716683192205247,,5,-4.919337398826571,64,0.265625,32.0,False,0.11298955967804769,-0.07119045458223967,,5,11.578676964720854,45.666666666666664,0.3795620437956204,5,
81,11.578676964720854,TrialState.COMPLETE,5.5,1500,1500,26.12995188150836,86,0.4069767441860465,43.0,True,-0.08745185831089142,-0.08745185831089139,,4,13.52541641148077,124,0.41935483870967744,62.0,True,,274,-0.08745185831089139,True,0.12579590630588755,-0.03716683192205247,,5,-4.919337398826571,64,0.265625,32.0,False,0.11298955967804769,-0.07119045458223967,,5,11.578676964720854,45.666666666666664,0.3795620437956204,5,
82,21.79409110017313,TrialState.COMPLETE,6.0,1500,1500,27.162727252877044,69,0.42028985507246375,34.5,True,-0.09089016820599827,-0.09089016820599824,,4,43.096568427387936,104,0.4423076923076923,52.0,True,,223,-0.09089016820599824,True,0.13606910416787565,-0.03962908004711336,,5,-4.877022379745599,50,0.28,25.0,False,0.16357740651346808,-0.037061631016894865,,5,21.79409110017313,37.166666666666664,0.3991031390134529,5,
83,21.79409110017313,TrialState.COMPLETE,6.0,1500,1500,27.162727252877044,69,0.42028985507246375,34.5,True,-0.09089016820599827,-0.09089016820599824,,4,43.096568427387936,104,0.4423076923076923,52.0,True,,223,-0.09089016820599824,True,0.13606910416787565,-0.03962908004711336,,5,-4.877022379745599,50,0.28,25.0,False,0.16357740651346808,-0.037061631016894865,,5,21.79409110017313,37.166666666666664,0.3991031390134529,5,
84,21.79409110017313,TrialState.COMPLETE,6.0,1500,1500,27.162727252877044,69,0.42028985507246375,34.5,True,-0.09089016820599827,-0.09089016820599824,,4,43.096568427387936,104,0.4423076923076923,52.0,True,,223,-0.09089016820599824,True,0.13606910416787565,-0.03962908004711336,,5,-4.877022379745599,50,0.28,25.0,False,0.16357740651346808,-0.037061631016894865,,5,21.79409110017313,37.166666666666664,0.3991031390134529,5,
85,21.79409110017313,TrialState.COMPLETE,6.0,1500,1500,27.162727252877044,69,0.42028985507246375,34.5,True,-0.09089016820599827,-0.09089016820599824,,4,43.096568427387936,104,0.4423076923076923,52.0,True,,223,-0.09089016820599824,True,0.13606910416787565,-0.03962908004711336,,5,-4.877022379745599,50,0.28,25.0,False,0.16357740651346808,-0.037061631016894865,,5,21.79409110017313,37.166666666666664,0.3991031390134529,5,
86,-1000000.0,TrialState.COMPLETE,6.0,1500,1505,30.023974284633614,77,0.42857142857142855,38.5,True,-0.09578544444063064,-0.09578544444063067,-717.3674121558312,3,23.020240248777963,116,0.4224137931034483,58.0,True,-717.3674121558312,249,-0.09578544444063067,False,0.14360897148026575,-0.03852285313264082,,5,-4.817490696822722,56,0.2857142857142857,28.0,False,0.13896274458885371,-0.05516523422592596,,5,16.075574612196288,41.5,0.39357429718875503,4,['overfit']
