trial_id,value,state,p_lookback_days,p_buffer_pct,p_entry_hhmm_min,a_fold1_test_calmar,a_fold1_test_trades,a_fold1_test_win_rate,a_fold1_monthly_trades,a_fold1_all_pass,a_fold2_test_return,a_fold2_test_mdd,a_fold2_overfit,a_fold2_gates_passed,a_fold3_test_calmar,a_fold3_test_trades,a_fold3_test_win_rate,a_fold3_monthly_trades,a_fold3_all_pass,a_avg_overfit,a_agg_trades,a_worst_mdd,a_valid,a_fold1_test_return,a_fold1_test_mdd,a_fold1_overfit,a_fold1_gates_passed,a_fold2_test_calmar,a_fold2_test_trades,a_fold2_test_win_rate,a_fold2_monthly_trades,a_fold2_all_pass,a_fold3_test_return,a_fold3_test_mdd,a_fold3_overfit,a_fold3_gates_passed,a_avg_calmar,a_avg_monthly_trades,a_agg_win_rate,a_agg_gates_passed,a_failed_aggregate_gates
20,69.29442701552502,TrialState.COMPLETE,10,0.0,1450,71.83339846968747,129,0.5038759689922481,64.5,True,-0.10444069342606921,-0.11079795524829403,-1.759234856334394,4,140.49365016261743,137,0.5255474452554745,68.5,True,28.09971590103225,331,-0.11079795524829403,True,0.2545285978119163,-0.03709398751207847,,5,-4.443767585729843,65,0.36923076923076925,32.5,False,0.350735819132874,-0.040190495631860834,57.9586666583989,5,69.29442701552502,55.166666666666664,0.486404833836858,5,
21,69.20311158700395,TrialState.COMPLETE,8,0.7000000000000001,1450,119.73338516660358,110,0.5545454545454546,55.0,True,-0.10381444308402776,-0.11111143290061026,-1.9017812551945072,3,92.28750801625795,122,0.5245901639344263,61.0,True,16.20007990727025,288,-0.11111143290061026,True,0.28786080278615045,-0.027214029751498215,,5,-4.411558421849694,56,0.3392857142857143,28.0,False,0.2646856903719501,-0.036735867896431934,34.30194106973501,5,69.20311158700395,48.0,0.5,5,
22,85.14764038377574,TrialState.COMPLETE,7,0.7000000000000001,1450,140.2249701776547,113,0.5752212389380531,56.5,True,-0.09469943435933548,-0.10226975454635277,-1.11727063737408,4,119.6909990124913,130,0.5076923076923077,65.0,True,15.089948341194386,303,-0.10226975454635277,True,0.3152940037922769,-0.027133616270240107,,5,-4.4730480388188045,60,0.36666666666666664,30.0,False,0.30820958831955303,-0.03703990759431866,31.297167319762853,5,85.14764038377574,50.5,0.504950495049505,5,
23,93.42843193382707,TrialState.COMPLETE,16,0.7000000000000001,1450,136.1640891638474,100,0.56,50.0,True,-0.11100688194601338,-0.11934570356711358,-0.9723704875946204,3,148.43480724024442,106,0.5566037735849056,53.0,True,21.434301540548717,243,-0.11934570356711358,True,0.2846261319309362,-0.023482939508317043,,5,-4.313600602610642,37,0.32432432432432434,18.5,False,0.33504389280116076,-0.034862350459394516,43.84097356869205,5,93.42843193382707,40.5,0.522633744855967,5,
24,77.25928302231283,TrialState.COMPLETE,16,0.2,1450,88.67688466872856,112,0.5446428571428571,56.0,True,-0.11066500235875398,-0.1203366459805441,-0.7697941388249603,3,147.36950385453724,126,0.5396825396825397,63.0,True,20.950957390088888,280,-0.1203366459805441,True,0.2710606757240164,-0.03326598290599498,,5,-4.2685394563272965,42,0.3333333333333333,21.0,False,0.36882520981191,-0.04225820725433478,42.67170891900274,5,77.25928302231283,46.666666666666664,0.5107142857142857,5,
25,93.42843193382707,TrialState.COMPLETE,16,0.7000000000000001,1450,136.1640891638474,100,0.56,50.0,True,-0.11100688194601338,-0.11934570356711358,-0.9723704875946204,3,148.43480724024442,106,0.5566037735849056,53.0,True,21.434301540548717,243,-0.11934570356711358,True,0.2846261319309362,-0.023482939508317043,,5,-4.313600602610642,37,0.32432432432432434,18.5,False,0.33504389280116076,-0.034862350459394516,43.84097356869205,5,93.42843193382707,40.5,0.522633744855967,5,
26,90.97905495170748,TrialState.COMPLETE,16,0.2,1460,130.626367419149,105,0.5714285714285714,52.5,True,-0.10477626795311001,-0.11525434395293742,-0.9711524295679947,3,146.5928779142936,115,0.5652173913043478,57.5,True,15.199304343099671,261,-0.11525434395293742,True,0.28039626555130304,-0.023877178923395654,,5,-4.282080478320192,41,0.34146341463414637,20.5,False,0.3332009655977761,-0.03493540951013719,31.369761115767336,5,90.97905495170748,43.5,0.5325670498084292,5,
27,90.97905495170748,TrialState.COMPLETE,16,0.2,1460,130.626367419149,105,0.5714285714285714,52.5,True,-0.10477626795311001,-0.11525434395293742,-0.9711524295679947,3,146.5928779142936,115,0.5652173913043478,57.5,True,15.199304343099671,261,-0.11525434395293742,True,0.28039626555130304,-0.023877178923395654,,5,-4.282080478320192,41,0.34146341463414637,20.5,False,0.3332009655977761,-0.03493540951013719,31.369761115767336,5,90.97905495170748,43.5,0.5325670498084292,5,
28,98.32538833876056,TrialState.COMPLETE,17,0.7000000000000001,1500,137.51005022692877,91,0.5824175824175825,45.5,True,-0.11554318023501653,-0.12469465431855395,-1.586252142598781,3,161.71512133320303,98,0.5918367346938775,49.0,True,29.441126408081097,224,-0.12469465431855395,True,0.2870961588546217,-0.023590767195141662,,5,-4.249006543850062,35,0.34285714285714286,17.5,False,0.36150314761361657,-0.037024554789435005,60.468504958760974,5,98.32538833876056,37.333333333333336,0.5491071428571429,5,
29,98.73411853343028,TrialState.COMPLETE,16,0.7000000000000001,1500,154.4248859993532,91,0.5934065934065934,45.5,True,-0.11554318023501653,-0.12469465431855395,-1.421660390291992,3,146.0264761447877,101,0.5841584158415841,50.5,True,24.39128426274729,227,-0.12469465431855395,True,0.3063414025849527,-0.02344501049309191,,5,-4.249006543850062,35,0.34285714285714286,17.5,False,0.33169171307069534,-0.0347728478879257,50.20422891578657,5,98.73411853343028,37.833333333333336,0.5506607929515418,5,
