strategy,trial_id,p_max_prev_return_pct,p_vol_mult,p_vol_lookback_days,p_entry_hhmm_min,train_calmar,train_sharpe,train_mdd,train_profit_factor,train_win_rate,train_total_trades,train_total_return,test_calmar,test_sharpe,test_mdd,test_profit_factor,test_win_rate,test_total_trades,test_total_return,overfit_ratio,monthly_trades,gates_passed,gate_calmar_ok,pass_stage1,error,pass_stage1_v1,gates_passed_v2,pass_stage1_v2
post_drop_rebound,48,-8.0,1.75,3,1460,0.6487041363244097,0.0176267353714159,-0.0170686534491676,1.3324203602838518,0.6666666666666666,3,0.0055649515130549,161.6720069962393,0.1671994507513435,-0.004590658243288,18.54973851021088,0.75,4,0.08731488207059,249.22302470935523,2.0,3,True,False,,True,3,False
post_drop_rebound,49,-7.5,1.5,8,1440,-0.2753342313272946,-0.0076331528812204,-0.0240777847330842,0.8654421206775975,0.5,4,-0.0033465380425606,198.8286175766525,0.1729265445255108,-0.0059931519934876,12.422252416518116,0.8181818181818182,11,0.1256022221589001,,5.5,3,True,False,,True,3,False
post_drop_rebound,50,-4.0,2.25,7,1500,0.5609042364626485,0.0128589354771207,-0.0176406818372508,1.1627839817421013,0.6666666666666666,6,0.0049744539679807,13582.19968832043,0.1781056634301617,-5.2751775037497285e-05,inf,1.0,4,0.0848813154495737,24214.828138893707,2.0,3,True,False,,True,3,False
post_drop_rebound,51,-6.5,3.5,5,1500,725.1140163852299,0.0709285452788414,-2.9994135300070048e-05,inf,1.0,1,0.0109023982972999,,0.0,0.0,,0.0,0,0.0,,0.0,1,False,False,,False,1,False
post_drop_rebound,52,-6.5,3.25,9,1460,725.1140163852299,0.0709285452788414,-2.9994135300070048e-05,inf,1.0,1,0.0109023982972999,,0.0,0.0,,0.0,0,0.0,,0.0,1,False,False,,False,1,False
post_drop_rebound,53,-7.5,1.75,9,1480,0.6487041363244097,0.0176267353714159,-0.0170686534491676,1.3324203602838518,0.6666666666666666,3,0.0055649515130549,194.3906144886465,0.1745486160608669,-0.0059840379328876,12.220842679470367,0.8,10,0.1233929300928724,299.6598967135827,5.0,4,True,False,,True,4,False
post_drop_rebound,54,-5.0,3.0,10,1430,-1.018717347772283,-0.0442335123104157,-0.0433000600879598,0.4856441059112235,0.5,4,-0.0224790065357235,3188.159723390893,0.1295857720061697,-2.927822812497616e-05,inf,1.0,1,0.0135478655187499,,0.5,2,True,False,,False,2,False
post_drop_rebound,55,-3.0,4.0,4,1430,-0.714245205928777,-0.0225725445601837,-0.0140552761057645,0.6560890819528067,0.5,4,-0.0050719538856945,,0.0,0.0,,0.0,0,0.0,,0.0,1,False,False,,False,1,False
post_drop_rebound,56,-5.0,2.75,4,1460,725.1140163852299,0.0709285452788414,-2.9994135300070048e-05,inf,1.0,1,0.0109023982972999,18215.193565093738,0.1487740656786218,-2.999490202128887e-05,inf,1.0,2,0.067940267852816,25.12045437474565,1.0,3,True,False,,True,3,False
post_drop_rebound,57,-6.5,2.25,10,1450,-0.0377389325452311,-0.0002658796903988,-0.0191113835914865,0.9855909096407252,0.6666666666666666,3,-0.0003635487276297,84.44770773942368,0.1232923718756203,-0.0051329754754813,6.661344331900479,0.5,4,0.0558016063186326,,2.0,2,True,False,,False,2,False
post_drop_rebound,58,-5.0,2.0,7,1500,0.0535017082869121,0.0028926058137748,-0.0279747004905918,1.029415011198677,0.6666666666666666,6,0.0007540066101927,131.8251483011138,0.1743390419976333,-0.0059413695946499,9.432205359735702,0.7142857142857143,7,0.0911392511045745,2463.9427884092715,3.5,4,True,False,,True,4,False
post_drop_rebound,59,-6.5,1.75,10,1440,-0.8489114090984577,-0.0352566905080152,-0.0359907176476714,0.5710908930029535,0.5,4,-0.0155161973966577,138.52941527231965,0.1728037736208633,-0.0059635812085872,9.793720900964422,0.75,8,0.0950586229661449,,4.0,3,True,False,,True,3,False
post_drop_rebound,60,-8.0,4.0,3,1440,,0.0,0.0,,0.0,0,0.0,,0.0,0.0,,0.0,0,0.0,,0.0,1,False,False,,False,1,False
post_drop_rebound,61,-6.5,2.0,9,1500,0.6487041363244097,0.0176267353714159,-0.0170686534491676,1.3324203602838518,0.6666666666666666,3,0.0055649515130549,108.3159014783954,0.1523119127026973,-0.0059206951816499,8.17576220193558,0.6,5,0.0775791915893813,166.9727313473269,2.5,3,True,False,,True,3,False
post_drop_rebound,62,-4.5,2.25,9,1430,-0.2824516025692171,-0.0093266487708139,-0.0402336079613072,0.8721387498002031,0.6666666666666666,6,-0.0057433527551798,119.68938796039846,0.1504614122249921,-0.0047776185516501,8.304125594671355,0.6,5,0.0705740778751486,,2.5,2,True,False,,False,2,False
