strategy,trial_id,p_vol_lookback_bars,p_volume_mult,p_entry_window_start_bar,p_entry_window_end_bar,p_take_profit_pct,p_stop_loss_pct,train_calmar,train_sharpe,train_mdd,train_profit_factor,train_win_rate,train_total_trades,train_total_return,test_calmar,test_sharpe,test_mdd,test_profit_factor,test_win_rate,test_total_trades,test_total_return,overfit_ratio,monthly_trades,gates_passed,gate_calmar_ok,pass_stage1,error,pass_stage1_v1,gates_passed_v2,pass_stage1_v2
volume_surge,22,30,5.0,50,90,4.0,-1.5,-0.1084307548833255,-0.0020752453239972,-0.1739535620972786,1.000375909927706,0.3253676470588235,544,-0.0095506988448563,-3.9076513853008894,-0.4424324417296552,-0.1894946644130834,0.4548204123860659,0.2352941176470588,119,-0.1840549515415118,,59.5,2,False,False,,False,2,False
volume_surge,23,25,5.5,45,180,5.0,-3.0,3.36353568629057,0.1785878670003311,-0.203932929543854,1.2640232302273284,0.4665936473165389,913,0.3011299220346513,-2.45521588369638,-0.1812425261468792,-0.2241582151278386,0.7673673663314389,0.3696498054474708,257,-0.1135490670393198,-0.7299508947396011,128.5,3,False,False,,False,3,False
volume_surge,24,30,7.5,10,360,5.0,-2.0,0.072270673845386,0.009153614473475,-0.2279442001022395,1.0134251955530678,0.3506891271056661,1306,0.0082685674140499,-3.090575125984909,-0.2911781227673116,-0.2341834857201476,0.6993401912214099,0.2970027247956403,367,-0.1763377367743036,-42.763889715443966,183.5,2,False,False,,False,2,False
volume_surge,25,30,4.5,10,180,4.0,-2.5,3.2421222925702327,0.1707155281190794,-0.1875302868698344,1.2067954886010317,0.4830383480825959,1356,0.2704602749831861,-2.8712079453404726,-0.2416851455622934,-0.2094599371723144,0.765891199938977,0.3781725888324873,394,-0.1295114530155789,-0.8855952016123015,197.0,3,False,False,,False,3,False
volume_surge,26,20,2.0,60,180,5.0,-2.5,1.1300334987661071,0.0681039583578373,-0.16793480137307,1.065735587562355,0.3908382066276803,2052,0.0915190565476296,-2.352358405294212,-0.5248710958045929,-0.3826710445090028,0.5890765013908101,0.3007334963325183,818,-0.2935381322161656,-2.0816713910364357,409.0,2,False,False,,False,2,False
volume_surge,27,25,2.5,55,180,5.0,-2.25,-0.1498608592269746,-0.0099056094099675,-0.2316667756576005,0.9962900387657864,0.3618715778994524,2009,-0.017649982280948,-2.312954866365958,-0.6941056952954474,-0.4115216477049236,0.481450975035815,0.2800546448087431,732,-0.3670495321701652,,366.0,2,False,False,,False,2,False
volume_surge,28,10,4.5,15,300,5.0,-3.0,3.165048622694495,0.1473211609807586,-0.1468915870201969,1.1418026156876029,0.4644913627639155,1563,0.2121735370870991,-0.0686870438521962,0.0055336786269993,-0.188408198418826,1.0035096973999509,0.387037037037037,540,-0.0019622604379269,-0.021701734172324,270.0,3,False,False,,False,3,False
volume_surge,29,25,4.5,40,60,1.5,-1.75,-1.7563552437322754,-0.2086393684325085,-0.2189905440986221,0.7016492388750674,0.5345744680851063,376,-0.2170516557479124,-3.184647404288131,-0.1724244345698687,-0.111001056872833,0.710393414533124,0.5119047619047619,84,-0.0636568984820492,,42.0,4,False,False,,False,4,False
volume_surge,30,15,3.5,5,150,1.5,-2.75,-1.4830209464594006,-0.3435797922822058,-0.4028452743150733,0.7520968120416965,0.6388325901905147,2467,-0.3678011341413378,-3.016323616187413,-0.5680588027626825,-0.2882968563429298,0.5660491681681047,0.564179104477612,670,-0.2644856040842287,,335.0,3,False,False,,False,3,False
volume_surge,31,30,5.5,10,300,2.0,-2.5,-1.4560898535863875,-0.3024567444603204,-0.4043636585715316,0.7781498949672173,0.5627413127413128,2072,-0.361000621208388,-2.663269361361137,-0.1860608335263739,-0.2050555676790244,0.8313089728947658,0.543010752688172,558,-0.1122940188169751,,279.0,3,False,False,,False,3,False
