strategy,trial_id,p_ema_period,p_pullback_lookback_bars,p_proximity_pct,p_entry_window_end_bar,p_take_profit_pct,p_stop_loss_pct,train_calmar,train_sharpe,train_mdd,train_profit_factor,train_win_rate,train_total_trades,train_total_return,test_calmar,test_sharpe,test_mdd,test_profit_factor,test_win_rate,test_total_trades,test_total_return,overfit_ratio,monthly_trades,gates_passed,gate_calmar_ok,pass_stage1,error,pass_stage1_v1,gates_passed_v2,pass_stage1_v2
intraday_pullback,93,35,7,0.7000000000000001,150,1.5,-3.0,-1.408016237635746,-0.6088782544427676,-0.5438386351595191,0.7394585302937446,0.6466836734693877,5488,-0.518768747323495,-1.9433898217580847,-1.172538510548056,-0.5096701096370531,0.5059608513031271,0.5622775800711743,2248,-0.5043920419881396,,1124.0,3,False,False,,False,3,False
intraday_pullback,94,10,6,1.5,330,4.0,-2.75,-0.6175832747103255,-0.0725702052976142,-0.2618877448033498,0.9676251664785052,0.4511237476306526,3693,-0.0850739902560074,-2.305963948172231,-0.6554297140708785,-0.4128352782522971,0.656964328854076,0.3591130340724716,1849,-0.367351655738495,,924.5,3,False,False,,False,3,False
intraday_pullback,95,25,9,0.6000000000000001,240,2.75,-1.5,-1.2763118610298387,-1.025410123918297,-0.7167948274930493,0.6712350964346331,0.343497031840259,7412,-0.7110402100462305,-1.5313770582009152,-1.7264142471100887,-0.6524042153416509,0.4396286642318775,0.2763541059988352,3434,-0.6513557833071129,,1717.0,2,False,False,,False,2,False
intraday_pullback,96,15,5,0.0,90,4.0,-1.5,-1.3993573310780394,-0.5191655213354748,-0.537813134389559,0.767631561913277,0.2938368956214982,4819,-0.5053487449175013,-1.906813493975647,-1.0972046045564,-0.5194246756881784,0.5184433286404435,0.2329659318637274,1996,-0.5040648503672538,,998.0,2,False,False,,False,2,False
intraday_pullback,97,15,5,1.4,60,3.0,-2.25,-1.4848050496929468,-0.4241492083431631,-0.4553201799724521,0.7875066968407263,0.4442666666666666,3750,-0.4333843863253231,-2.3853614885547763,-0.8086639924945916,-0.4027329783973979,0.5732936360143706,0.3686797752808989,1424,-0.3860913939819475,,712.0,3,False,False,,False,3,False
intraday_pullback,98,40,4,1.4,120,4.0,-1.25,-1.394565553496601,-0.6174399734303155,-0.5830984212507886,0.7406877012105163,0.2548112509252405,5404,-0.5706282910279059,-1.5607441618754474,-1.5201978395235172,-0.6399245642749815,0.4337368068965009,0.1877514528386231,2237,-0.6354272919760495,,1118.5,2,False,False,,False,2,False
intraday_pullback,99,35,11,1.0,270,3.25,-1.0,-1.1558756037969995,-1.4487484340125634,-0.843024545023335,0.5973002175985082,0.2257933691574571,9863,-0.8424080778937107,-1.3443198330053068,-2.0826507817753046,-0.7437788483896973,0.3984592479134128,0.1807548002648422,4531,-0.7426259551437443,,2265.5,2,False,False,,False,2,False
intraday_pullback,100,25,11,1.4,120,3.75,-1.25,-1.349619349387272,-0.7040050954303849,-0.6309838401823193,0.7180658896775985,0.2636011453596092,5937,-0.6176626834769038,-1.7428053085822643,-1.30043106117018,-0.5714716752336872,0.4762728206791585,0.2036321483771252,2588,-0.5644933854127941,,1294.0,2,False,False,,False,2,False
intraday_pullback,101,25,7,0.7000000000000001,360,2.0,-1.0,-1.057582654477914,-2.1793978166691037,-0.9422547965581226,0.5297001931002022,0.2954298150163221,14704,-0.9422547965581228,-1.1663552601617757,-2.348277674754082,-0.8573695206526953,0.3932419433545803,0.2505858230814294,6828,-0.8566051129504113,,3414.0,2,False,False,,False,2,False
intraday_pullback,102,25,13,0.7000000000000001,180,2.75,-2.75,-1.3041868099177238,-0.3002850664366938,-0.3910758547707345,0.8577830257219424,0.5148346303501945,4112,-0.302004550592951,-2.188795034462756,-0.8601896604996633,-0.4445978911188019,0.5678044800189006,0.4157488986784141,1816,-0.4203916614808078,,908.0,3,False,False,,False,3,False
