strategy,trial_id,p_vwap_deviation_pct,p_rebound_min_bars,p_entry_window_end_bar,p_take_profit_pct,p_stop_loss_pct,train_calmar,train_sharpe,train_mdd,train_profit_factor,train_win_rate,train_total_trades,train_total_return,test_calmar,test_sharpe,test_mdd,test_profit_factor,test_win_rate,test_total_trades,test_total_return,overfit_ratio,monthly_trades,gates_passed,gate_calmar_ok,pass_stage1,error
vwap_bounce,57,-2.7,10,150,1.0,-2.7,-1.400248575903646,-0.42695305225820346,-0.5388767191642018,0.47928619594856875,0.6497695852534562,434,-0.5073362505098271,-2.7024656390131745,-0.6521940297221812,-0.34713613081285377,0.4288214545334739,0.5639269406392694,438,-0.34269067893434224,,219.0,3,False,False,
vwap_bounce,58,-1.2000000000000002,10,330,5.0,-1.5,-1.3110035524361283,-0.32461048011503996,-0.4743705214127214,0.8099346492974651,0.2581419266369558,2917,-0.3874714417482177,-1.811743110259891,-0.9499431111322642,-0.5475158650903178,0.5198532999384908,0.20145495243424735,1787,-0.5167838772070887,,893.5,2,False,False,
vwap_bounce,59,-1.8,4,360,3.5,-2.1,-1.3249029486386148,-0.2675766007330675,-0.48284504063847594,0.8056486417386962,0.3949232585596222,1694,-0.4021957468216514,-2.4238094522862927,-0.49074614671417127,-0.3893403421537538,0.7050037852782436,0.3354890864995958,1237,-0.35196278023991046,,618.5,2,False,False,
vwap_bounce,60,-1.8,7,120,3.0,-0.8999999999999999,-1.1737331099586885,-0.7850857833844866,-0.8186193024838848,0.5363291897943439,0.2072387624051372,1713,-0.8046406761506022,-1.678812976567463,-1.3384737512121396,-0.594033616046374,0.3573950986920705,0.1733457595526561,1073,-0.589458204240236,,536.5,2,False,False,
vwap_bounce,61,-1.5,2,60,4.5,-2.7,-1.154015445553862,-0.1224006226911121,-0.3276150740764952,0.8759901405147335,0.3923766816143498,892,-0.2128613055738695,-3.4475699282571806,-0.3666085216277651,-0.2399976186994277,0.6854531902641956,0.3597122302158273,417,-0.23273154615716163,,208.5,3,False,False,
vwap_bounce,62,-2.7,9,150,5.0,-1.8,-1.273121453430474,-0.17062426410044645,-0.4260658738003952,0.7688874897355766,0.26139088729016785,417,-0.32565885888441737,-2.4002032514454306,-0.4635071761014326,-0.38266474294660985,0.561579429357347,0.22401847575057737,433,-0.3147784008701786,,216.5,2,False,False,
vwap_bounce,63,-2.4,6,90,2.5,-1.5,-1.4216507657933948,-0.4126828882791274,-0.5498358403682365,0.5546595364434066,0.3483992467043315,531,-0.5355600316917714,-2.669787492880409,-0.6937507256350524,-0.3519847923423031,0.46942070616555076,0.303951367781155,329,-0.34528411749655064,,164.5,2,False,False,
vwap_bounce,64,-1.8,3,270,5.0,-1.8,-1.283804901031717,-0.1812509529978366,-0.40164270418575865,0.8585205256131018,0.28462029355456286,1567,-0.3060328265159644,-2.1286419172295727,-0.68207079565246,-0.45671781865164546,0.5857311056159007,0.23605150214592274,1165,-0.41736245816592643,,582.5,2,False,False,
vwap_bounce,65,-0.30000000000000027,9,60,5.0,-1.8,-1.1073099710875929,-0.15402598706889561,-0.3152862329492298,0.8961348539572761,0.31518282988871227,2516,-0.19460203895520423,-2.5717590312350063,-0.6698593999025222,-0.3689398470065635,0.5390756961723595,0.2165543792107796,1039,-0.36124412245452564,,519.5,2,False,False,
vwap_bounce,66,-2.7,3,180,1.5,-2.7,-1.3713510688829076,-0.3492340115626158,-0.5280360355106195,0.5899638142243362,0.589010989010989,455,-0.4774371429078589,-2.732448728312446,-0.5265474459166579,-0.3376021389855827,0.5478213273160464,0.5,490,-0.31996667673966395,,245.0,3,False,False,
vwap_bounce,67,-0.6000000000000001,3,180,3.0,-2.1,-1.3811272470919371,-0.4751334760909713,-0.5100255834200694,0.7680406692348585,0.41785402733352717,3439,-0.4589414542177068,-2.174989444759443,-0.9684934139447354,-0.45117027825945005,0.5504006822222455,0.34,1650,-0.45117027825945,,825.0,2,False,False,
