======================================================================
일봉 필터 옵션별 시뮬레이션 비교
======================================================================

======================================================================
필터 옵션: none
======================================================================
2026-01-31 13:07:44 | utils.data_cache | DEBUG | [215100] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:44 | utils.data_cache | DEBUG | [183300] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:44 | utils.data_cache | DEBUG | [086520] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:45 | utils.data_cache | DEBUG | [006650] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:45 | utils.data_cache | DEBUG | [000150] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:45 | utils.data_cache | DEBUG | [381620] 일봉 DuckDB에서 로드 (1350개)
2026-01-31 13:07:45 | utils.data_cache | DEBUG | [001520] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:45 | utils.data_cache | DEBUG | [089890] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:45 | utils.data_cache | DEBUG | [010120] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:45 | utils.data_cache | DEBUG | [047050] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:45 | utils.data_cache | DEBUG | [247540] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:45 | utils.data_cache | DEBUG | [030530] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:45 | utils.data_cache | DEBUG | [437730] 일봉 DuckDB에서 로드 (1743개)
2026-01-31 13:07:45 | utils.data_cache | DEBUG | [259630] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:45 | utils.data_cache | DEBUG | [005690] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:45 | utils.data_cache | DEBUG | [003670] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:45 | utils.data_cache | DEBUG | [089890] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:45 | utils.data_cache | DEBUG | [090360] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:45 | utils.data_cache | DEBUG | [036810] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:45 | utils.data_cache | DEBUG | [259630] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:45 | utils.data_cache | DEBUG | [032940] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:45 | utils.data_cache | DEBUG | [322000] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:45 | utils.data_cache | DEBUG | [093370] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:45 | utils.data_cache | DEBUG | [090360] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:45 | utils.data_cache | DEBUG | [005690] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:45 | utils.data_cache | DEBUG | [222800] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:45 | utils.data_cache | DEBUG | [336260] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:45 | utils.data_cache | DEBUG | [001440] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:45 | utils.data_cache | DEBUG | [240810] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:45 | utils.data_cache | DEBUG | [090360] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:45 | utils.data_cache | DEBUG | [413630] 일봉 DuckDB에서 로드 (1349개)
2026-01-31 13:07:45 | utils.data_cache | DEBUG | [117730] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:45 | utils.data_cache | DEBUG | [032820] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:45 | utils.data_cache | DEBUG | [448900] 일봉 DuckDB에서 로드 (1203개)
2026-01-31 13:07:45 | utils.data_cache | DEBUG | [005380] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:45 | utils.data_cache | DEBUG | [001440] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:45 | utils.data_cache | DEBUG | [088800] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:45 | utils.data_cache | DEBUG | [338840] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:45 | utils.data_cache | DEBUG | [036810] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:45 | utils.data_cache | DEBUG | [440110] 일봉 DuckDB에서 로드 (851개)
2026-01-31 13:07:45 | utils.data_cache | DEBUG | [001440] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:46 | utils.data_cache | DEBUG | [000500] 일봉 DuckDB에서 로드 (100개)
